comentarios,especificaciones,modeloMarca,precio
"Incluye cubre Pick-Up, pisos Weathertech delanteros y traseros y varios set de amarras para carga pickup.","32,000 km ,Automática ,Bencina ,7.6 Km/Lt. ", 2021 Ford F-150 3.5 Platinum Auto Ecoboost 4WD ,"
                    $47,250,000
                    ,
                    
                "
"FORD F- | 5.0 XLT CC DOB. CAB. 4X4 AT 4P

Precio al contado: $24,990,000
Precio con crédito o vehículo en parte de pago: $23,990,000

La Ford F-150 es una camioneta de gran tamaño y resistencia, ideal para aquellos que buscan un vehículo versátil y potente tanto para el trabajo como para el uso diario. Esta versión específica cuenta con un motor 5.0 litros y una tracción 4x4, brindando una excelente capacidad de arrastre y desempeño en terrenos diversos.

Con 132,500 km recorridos, esta Ford F- aún tiene mucho por ofrecer y sigue en buenas condiciones para acompañarte en tus proyectos y aventuras.

El interior de la F-150 ofrece un amplio espacio para los pasajeros y comodidades modernas que hacen que cada viaje sea placentero. Su cabina doble brinda comodidad adicional para los ocupantes y permite llevar carga y pasajeros de manera cómoda.

En términos de seguridad, la Ford F-150 está equipada con características y tecnologías avanzadas para proteger a sus ocupantes, como bolsas de aire, frenos antibloqueo y asistencia electrónica de estabilidad.

Si estás interesado en adquirir esta robusta Ford F-150, te invitamos a visitar nuestra concesionaria para obtener más detalles y realizar una prueba de manejo. También podemos ofrecerte opciones de financiamiento con crédito o evaluar un vehículo en parte de pago.

Astara Retail Seminuevos Cantagallo
Av. Las Condes 12.256, Vitacura.
Horario: Lunes a Viernes 8:30 a 19:00 hrs. Sábado 10:00 a 14:00 hrs.

No dudes en contactarnos si tienes más preguntas o si deseas concertar una visita para conocer más sobre la Ford F-150. Estamos aquí para asistirte en todo lo que necesites.","132,500 km ,Automática ,Bencina ", Ford F-150 2020 5.0 XLT CC DOB. CAB. 4X4 AT 4P ,"
                    $23,990,000
                    ,
                    
                "
"¡Reserva por $300.000, con garantía desde 6 meses! Tomamos tu auto en parte de pago al mejor precio del mercado, financiamiento desde un 20% pie con entrega inmediata. Calidad y seguridad por SALFA, con 86 años de trayectoria. ¡No te lo pierdas!","53,979 km ,Automática ,Bencina ", Ford F-150 2022 XLT DC 3.3 AT 4x2 ,"
                    $35,990,000
                    ,
                    
                "
"FACTURABLE, único dueño, mantenimiento en la marca, compartimiento rígido plegable cubre carga, suspensión FOX con reservorio, versión XLT, motor ocho cilindros 5.000 CC, caja de cambios automática tiptronic diez velocidades, tracción 4x4 con reductora, llantas Raptor, neumáticos AT, volante multifuncional con velocidad crucero, computador a bordo, pantalla touch con cámara trasera de estacionamiento, Apple CarPlay y Android Auto, climatizadores delanteros independientes, asientos eléctricos con calefacción en tres niveles, seis plazas.
Financiamiento con pie desde 20%. Pago con tarjetas bancarias, webpay, Transbank, Fpay y Mercado Pago.","39,100 km ,Automática ,Bencina ,7 Km/Lt. ", 2021 Ford F-150 5.0 Double Cab XLT 4WD ,"
                    $45,450,000
                    ,
                    
                "
"Dos llaves 
Mantenciones al día 
Kit de levante 
Llantas off road
Neumaticos 35 / 13.50 / 20
Stage 1 de motor 
Alarma GPS
Cubre pick up
Impecable
Excelente estado

Crédito automotriz 💳✔️
Recibimos tu auto 🚙✔️","53,000 km ,Automática ,Bencina ,7.6 Km/Lt. ", 2018 Ford F-150 3.5 Platinum Auto Ecoboost 4WD ,"
                    $42,990,000
                    ,
                    
                "
,"72,151 km ,Automática ,Bencina ", Ford F-150 2018 LARIAT 5.0 ,"
                    $30,990,000
                    ,
                    
                "
"Único dueño, facturable, mantenimiento al día timbrado en ford, copia de llave, versión Lariat sport 4x4, motor ocho cilindros 5.000 CC coyote, caja de cambios automática Tiptronic diez velocidades, tracción 4x4 con reductora, modos de conducción, volante multifuncional con velocidad crucero, computador a bordo, pantalla touch con cámara trasera de estacionamiento, Apple CarPlay, Android Auto y navegador, climatizadores delanteros independientes, asientos eléctricos con memorias y calefacción. Recibimos auto en parte de pago. Financiamiento con pie desde 20%. Pago con tarjetas bancarias, webpay, Transbank, Fpay y Mercado Pago.","83,600 km ,Automática ,Bencina ", 2020 Ford F-150 LARIAT 5.0 ,"
                    $31,890,000
                    ,
                    
                "
"Esta camioneta esta con sus mantenciones al día, hace poco se reparo la transmisión automática, se le cambio el radiador de la calefacción, en general muy buena, algunos detalles muy menor en pintura propios de los años. funciona todo 100% a toda prueba.

Mas consultas no dudes en hacerlas.","313,779 km ,Automática ,Bencina ", 2009 Ford F-150 DC Lariat 4X4 5.4L ,"
                    $9,880,000
                    ,
                    
                "
"Disponibilidad para entrega inmediata, vendemos al contado o con financiamiento, consulta por tu versión y color favorito.
Aceptamos auto en parte de pago.

Para mayor información no dudes en contactarnos, con gusto te ayudaremos. 

El precio del vehículo corresponde a valor oferta con pago con financiamiento Forum.","Automática ,Bencina ,7.6 Km/Lt. ", 2023 Ford F-150 3.5 Platinum Auto Ecoboost 4WD ,"
                    $54,252,100
                    ,
                    
                "
"Impecables condiciones, full equipo, descuenta iva. Financiamiento en línea, recibimos su auto en parte de pago.","28,000 km ,Automática ,Bencina ,7.6 Km/Lt. ", 2022 Ford F-150 3.5 Platinum Auto Ecoboost 4WD ,"
                    $56,990,000
                    ,
                    
                "
"Ford
F-150
F150 LARIAT SPORT DCAB 4X4 5.0 AUT
Precio oferta
$38.490.000
Precio lista
$40.390.000
GARANTIA POR 12 MESES!!","56,621 km ,Automática ,Bencina ,7 Km/Lt. ", 2021 Ford F-150 5.0 Double Cab Lariat Sport 4WD ,"
                    $38,490,000
                    ,
                    
                "
"EXCELENTE ESTADO, CRÉDITO INMEDIATO, RECIBIMOS SU AUTO EN PARTE DE PAGO.","67,157 km ,Automática ,Bencina ", Ford F-150 2021 LARIAT LUXURY 4X4 ,"
                    $41,990,000
                    ,
                    
                "
"⚡Disponible ⚡
✅Ford F-150 XLT 2021
✔️Motor: 3.3cc 
✔️29.xxx km
✔️Combustible Bencina 
✔️Transmisión Automática 
✔️Traccion Trasera 
✖️Bono descuento $1.000.000✖️
➡️Gestionamos Crédito Automotriz!
➡️Se reciben vehiculos en parte de pago!
➡️Al contado!","29,100 km ,Automática ,Bencina ,8.8 Km/Lt. ", 2021 Ford F-150 3.3 XLT Double Cab ,"
                    $29,980,000
                    ,
                    
                "
Ford Raptor perfecto estado. Unico dueño. Mantenciones en Ford. Vendo por renovación. Tapiz cuero. Asientos delanteros electricos y calefaccionados. Cámara de retroceso. Sistema de sonido Sony subwoofer. Radio Touch Android estilo Tesla. Sunroof electrico. Amortiguación deportiva FOX. NO PERMUTO. Conversable.,"185,000 km ,Automática ,Bencina ", 2014 Ford F-150 6.2 Raptor SVT Auto 4WD ,"
                    $25,900,000
                    ,
                    
                "
"Impecable, sin detalles de pintura, muy bien cuidada, nunca cargada. Control crucero adaptativo, 10 cambios, techo corredizo completo, asientos con masaje, calefaccionados y acondicionados al igual que el manubrio, cámara delantera, trasera y 360 grados, pisadera automática, cubre pickup, enganche coco americano, interior de cuero negro impecable.
GPS y Corta corriente","74,000 km ,Automática ,Bencina ,7.6 Km/Lt. ", 2018 Ford F-150 3.5 Platinum Auto Ecoboost 4WD ,"
                    $33,900,000
                    ,
                    
                "
"FORD F150 XLT 3.3 CC, Doble Cabina, en muy buen estado, único dueño, mantenciones y papeles al día, muy cómoda, amplia, neumáticos recién cambiados. Reales interesados llamar, no automotoras por favor. Doble cabina, CC 3.3 L, automática, cierre centralizado, aire acondicionado, 6 airbags, 4x2,  Frenos ABS, cámara y sensores de retroceso, Pisadera lateral en ambos costados, etc.","98,000 km ,Automática ,Bencina ", 2019 Ford F-150  ,"
                    $24,980,000
                    ,
                    
                "
